web-scraper-order,web-scraper-start-url,title,author,content,image-src
1718041818-1,https://www.editorialedomani.it/,"Il blitz non placa la crisi. Gantz si è dimesso, un colpo a Netanyahu",Vittorio Da Rold,"Il ministro centrista aveva solo congelato l’addio dopo la liberazione degli ostaggi, ma non ha cambiato idea. Gli Usa confermano la morte di civili ma senza fare un bilancio: per Hamas sono 274",https://immagini.editorialedomani.it/version/c:YzIyNjY5ZGYtY2E5Yi00:YTI5ZGZkNzQtNzlhNC00/mideast-israel-palestinian-conflict.webp?f=4%3A3&q=0.75&w=300 
1718041818-2,https://www.editorialedomani.it/,Europa vecchia e più povera. Come fermare subito il declino,Alessandro Penatieconomista,Il modello economico che ha fatto la fortuna del continente è in crisi. Aumenta il distacco da Usa e Cina. La rimonta è possibile con gli investimenti su transizione green e difesa. Finanziati da debito comunitario,https://immagini.editorialedomani.it/version/c:NDQwNDFkZWEtM2Y2OC00:ZjNlZWE5MGUtZmIyOC00/obj93074490_1.webp?f=4%3A3&q=0.75&w=300 
1718041818-3,https://www.editorialedomani.it/,"Meno famiglia, poca città: lo sguardo dei giovani su un futuro non scritto",Enzo Risso,"Nella dimensione percettiva delle persone la relazione tra l’individuale e il collettivo subirà un’evoluzione nei prossimi 10 anni. Per il 58 per cento degli italiani conterà sempre di più la collettività, l’essere insieme",https://immagini.editorialedomani.it/version/c:NDg4ZWQzMjktZjU0NC00:MDA3ODE3OTEtMTNmMS00/obj93074436_1.webp?f=4%3A3&q=0.75&w=300 
1718041818-4,https://www.editorialedomani.it/,Il vento nuovo dell'atletica. La promessa di un'Italia migliore,Aligi Pontani,"In tre giorni è già il miglior Europeo di sempre. Ma a parte la contabilità delle medaglie, c’è dell’altro. Da dove vengono questi ragazzi che sorridono così tanto quando vincono ma anche quando perdono? Cambiare la cultura sportiva, soprattutto se si tratta di monocultura, è un processo lunghissimo. Eppure non si tratta di un’impressione: i più giovani si spostano verso la scoperta e la pratica di altro rispetto al pallone.",https://immagini.editorialedomani.it/version/c:MGZjZjBmOTUtNTdjMS00:ZmY4NTU3NmYtYjYwMy00/european-athletics-championships-2024-day-2.webp?f=4%3A3&q=0.75&w=300 
1718041818-5,https://www.editorialedomani.it/,"Quel mistero chiamato Richard Benson, indagine sulla fragilità di un artista",Marco De Vidi,"Benson: la vita è il nemico, il film documentario diretto dal regista romano Maurizio Scarcella esplora il lato più intimo del musicista. Un'opera prodotta dal basso, girata in sette anni entrando in punta di piedi nella sua quotidianità e in quella della compagna di vita e artistica Ester Esposito. Era un genio o un mitomane?",https://immagini.editorialedomani.it/version/c:NGE3MzgyNTYtZTY0Mi00:NDIyYWZlOWUtMmZmOC00/roma-il-matrimonio-di-richard-benson.webp?f=4%3A3&q=0.75&w=300
1718043136-1,https://www.editorialedomani.it/politica/italia,"FdI è solo Giorgia Meloni, la premier vince il plebiscito ma dietro di lei c’è il vuoto",Giulia Merlo,La vittoria solitaria della leader. Sull’Ue: «Servono dati per capire la maggioranza». L’esecutivo esce rafforzato rispetto a Francia e Germania. I nuovi equilibri del G7,https://immagini.editorialedomani.it/version/c:NjU1MTdmZTUtNWI1Mi00:NDI0Y2IxYjQtZTNiZS00/meloni-questa-per-me-notte-ancora-piu-bella-di-due-anni-fa.webp?f=3%3A2&q=0.75&w=471
1718043136-2,https://www.editorialedomani.it/politica/italia,"Lega, scialuppa Vannacci: Salvini si aggrappa ai voti del generale",Stefano Iannaccone,Il risultato del militare dà ossigeno al leader leghista che rimuove il sorpasso completato da Forza Italia. Monta il “caso Bossi” che potrebbe subire la clamorosa espulsione,https://immagini.editorialedomani.it/version/c:MDg4ZTZhOWQtNTQ0NS00:ZDU3YmFjYmQtODdhYy00/salvini-vannacci-il-comizio-a-milano.webp?f=11%3A4&q=0.75&w=471
1718043136-3,https://www.editorialedomani.it/politica/italia,"Elezioni europee, Renzi si è rottamato: ora il futuro politico è davvero a rischio",Stefano Iannaccone,Il leader di Italia viva puntava a restare centrale con una strategia aggiornata dei due forni. Ma insieme a +Europa non è andato oltre gli 800mila voti,https://immagini.editorialedomani.it/version/c:MmE5NmQxZTQtYzQ4OC00:NjYyYmVmYmQtYzUxZS00/italia-viva-matteo-renzi-visita-la-casa-della-divina-provvidenza.webp?f=11%3A4&q=0.75&w=471
1718043136-4,https://www.editorialedomani.it/politica/italia,"Elezioni europee, Conte sbaglia tutto, agonia M5s: l’ombra di Appendino e Raggi",Lisa Di Giuseppe,,https://immagini.editorialedomani.it/version/c:ZTRiNmU4OTItZjE3Ny00:NDZhODRkYTYtYzZjZi00/conte-risultato-deludente-avvieremo-riflessione.webp?f=4%3A3&q=0.75&w=225
1718043136-5,https://www.editorialedomani.it/politica/italia,"Europee, Schlein: «Non li abbiamo fermati, ma rallentati»",,,https://immagini.editorialedomani.it/version/c:Zjg0NmFhNTctMjc2OC00:ODllMjEwOWItNTdhNS00/image.webp?f=4%3A3&q=0.75&w=225
